"ActivityHour","AverageCalories"
"18:00:00",123.49227373068433
"17:00:00",122.75275938189846
"19:00:00",121.48454746136865
"12:00:00",117.19739696312364
"14:00:00",115.7328990228013
"13:00:00",115.30944625407166
"16:00:00",113.32745314222713
"10:00:00",110.46071044133477
"11:00:00",109.80690399137
"15:00:00",106.63715846994536
"09:00:00",106.14285714285714
"08:00:00",103.33727175080558
"20:00:00",102.35761589403974
"21:00:00",96.05635359116022
"07:00:00",94.4779806659506
"22:00:00",88.26548672566372
"06:00:00",86.9967776584318
"05:00:00",81.70815450643777
"23:00:00",77.59357696566998
"00:00:00",71.8051391862955
"01:00:00",70.16505894962486
"02:00:00",69.18649517684888
"04:00:00",68.2618025751073
"03:00:00",67.53804930332261
